Pathways	Ontology - direct parents of entity	Ontology - pathway type
PWY-7228	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	Nucleotide-Biosynthesis // Super-Pathways
PWY-8254	Bile-Acids-Degradation	CARBOXYLATES-DEG // Fatty-Acid-and-Lipid-Degradation
PWY-7014	Paromamine-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7873	Aldonate-Degradation	CARBOXYLATES-DEG
PWY-6876	Energy-Metabolism	Energy-Metabolism
PWY-6558	Glycosaminoglycans-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways
PWY-3462	PHENYLALANINE-SYN	Amino-Acid-Biosynthesis
PWY-5476	ELLAGITANNINS	AROMATIC-COMPOUNDS-BIOSYN
PWY-7636	C40-Carotenoids-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7133	FLAVONOID-DEG	SECONDARY-METABOLITE-DEGRADATION
PWY-5025	Auxin-Biosynthesis	HORMONE-SYN
P163-PWY	Acetate-Formation // Acetyl-CoA-Butyrate // LYSINE-DEG	Energy-Metabolism // Amino-Acid-Degradation
DARABCATK12-PWY	D-Arabinose-Degradation	Carbohydrates-Degradation
PWY-5920	Heme-b-Biosynthesis // Super-Pathways	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // Super-Pathways
HOMOSER-THRESYN-PWY	THREONINE-BIOSYNTHESIS	Amino-Acid-Biosynthesis
PWY-6157	Autoinducer-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7981	Protein-Glycosylation	Carbohydrates-Biosynthesis // Protein-Modification // Glycan-Pathways
XYLCAT-PWY	Xylose-Degradation	Carbohydrates-Degradation
PWY-6992	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation
PWY-5120	GGPP-Biosynthesis	Polyprenyl-Biosynthesis
PWY-6945	Cholesterol-Degradation	Fatty-Acid-and-Lipid-Degradation
PWY-7835	Sphingolipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Super-Pathways
PWY-8018	Itaconate-Biosynthesis	Carboxylate-Biosynthesis
PWY-2721	Trehalose-Degradation	Carbohydrates-Degradation
PWY66-423	Metabolic-Regulators	Metabolic-Regulators
PWY-7867	CoB-CoM-Reduction	Cofactor-Biosynthesis
PWY-6950	PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Protocatechuate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7626	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-8288	Carbofuran-Degradation	AROMATIC-COMPOUNDS-DEGRADATION
PWY0-42	Methyl-Citrate-Cycle	CARBOXYLATES-DEG
PWY-7443	MONOTERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7561	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5890	Menaquinone-Biosynthesis	Cofactor-Biosynthesis
PWY-7661	Protein-Glycosylation	Carbohydrates-Biosynthesis // Protein-Modification // Glycan-Pathways
PWY-7000	Antibiotic-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways
PWY-8112	Factor-420-Biosynthesis	Cofactor-Biosynthesis
PWY-8325	Glycine-Betaine-Degradation	AMINE-DEG
PWY-6284	Super-Pathways // Unsaturated-Fatty-Acids-Biosynthesis	Lipid-Biosynthesis // Super-Pathways
PWY-7726	PUFA-Biosynthesis	Lipid-Biosynthesis
